Title,Employees,Revenues,Revchange,Assets,Totshequity,Profits
Paccar,23000,17033,-10.9,20639,6778,521.7
General Mills,39000,16563,-6.1,21712,4930,1697.4
PNC Financial Services Group,50683,16423,0.9,366380,45699,3903
American Electric Power,17634,16380,-3.1,63468,17397,610.9
Icahn Enterprises,90980,16348,7,33335,2154,-1128
Nucor,23900,16208,-1.4,15224,7880,796.3
NextEra Energy,14700,16155,-7.6,89993,24341,2912
Performance Food Group,13000,16105,5.5,3455,803,68.3
PBF Energy,3165,15920,21.3,7622,2025,170.8
Halliburton,50000,15887,-32.8,27000,9409,-5763
CarMax,22429,15833,6.4,14482,2905,623.4
Freeport-McMoRan,30000,15789,-0.6,37317,6051,-4154
Whole Foods Market,73515,15724,2.2,6341,3224,507
Bank of New York Mellon,52000,15683,1,333469,38811,3547
Gap,135000,15516,-1.8,7610,2904,676
Omnicom Group,78500,15417,1.9,23165,2162,1148.6
Genuine Parts,40000,15340,0.4,8859,3194,687.2
DaVita,70300,15197,6.9,18741,4648,879.9
Colgate-Palmolive,36700,15195,-5.2,12123,-243,2441
PPG Industries,47000,15178,-1,15769,4826,877
Goodyear Tire & Rubber,66000,15158,-7.8,16511,4507,1264
Synchrony Financial,15000,15122,11,90207,14196,2251
DISH Network,16000,15095,0.2,28092,4637,1449.9
Visa,14200,15082,8.7,64035,32912,5991
Nordstrom,72500,14757,2.2,7858,870,354
INTL FCStone,1464,14755,-57.5,5951,434,54.7
WestRock,39000,14706,29.2,23038,9729,-396.3
XPO Logistics,87000,14619,91.8,11698,2700,69
Aramark,217250,14416,0.6,10582,2161,287.8
CBS,18410,14386,3.6,24238,3689,1261
AES,19000,14287,-4.5,36119,2794,-1130
WellCare Health Plans,7400,14237,2.5,6153,2000,242.1
FirstEnergy,15707,14156,-3.1,43148,6241,-6177
Conagra Brands,20900,14134,-10.8,13391,3714,-677
Synnex,110000,14062,5.4,5223,1976,234.9
CDW,8516,13982,7.6,6948,1046,424.4
Textron,36000,13788,2.7,15358,5574,962
Waste Management,41200,13609,5,20859,5297,1182
Illinois Tool Works,50000,13599,1.4,15201,4254,2035
Office Depot,38000,13585,-6.2,5540,1852,529
Monsanto,22450,13502,-10,19736,4534,1336
Cognizant Technology Solutions,260200,13487,8.6,14262,10728,1553
Texas Instruments,29865,13370,2.8,16431,10473,3595
Lincoln National,9057,13330,-1.8,261627,14478,1192
Newell Brands,53400,13264,122.1,33838,11349,527.8
Land O’Lakes,10000,13233,0.6,8305,1904,244.9
Marsh & McLennan,60000,13211,2.5,18190,6192,1768
Ecolab,47565,13153,-2.9,18330,6901,1229.6
C.H. Robinson Worldwide,14125,13144,-2.5,3688,1258,513.4
Loews,15800,13105,-2.3,76594,18163,654
CBRE Group,75000,13072,20.4,10780,3015,572
Kinder Morgan,11121,13058,-9.3,80305,34431,708
Kellogg,37369,13014,-3.8,15111,1910,694
Western Digital,72878,12994,-10.8,32862,11145,242
Guardian Life Ins. Co. of America,8876,12919,2.3,70339,6172.5,263.9
Ross Stores,78600,12867,7.8,5309,2748,1117.7
L Brands,59100,12574,3.5,8170,-729,1158.1
J.C. Penney,106000,12547,-0.6,9314,1354,1
Farmers Insurance Exchange,13309,12513,-0.9,16057,4219,-147.9
Reynolds American,5525,12503,17.1,51095,21711,6073
Viacom,9650,12488,-5.9,22508,4277,1438
Becton Dickinson,50928,12483,21.4,25586,7633,976
Micron Technology,31400,12399,-23.4,27540,12080,-276
Principal Financial,14854,12394,3.6,228014,10227,1316.5
Arconic,41500,12394,-45,20038,5115,-941
NRG Energy,8763,12351,-15.8,30355,2041,-774
VF,69000,12207,-1.4,9739,4941,1074.1
Devon Energy,3545,12197,-7.2,25913,5927,-3302
D.R. Horton,6976,12157,12.3,11559,6793,886.3
Bed Bath & Beyond,62000,12104,1.9,6499,2560,841.5
Consolidated Edison,14960,12075,-3.8,48255,14298,1245
Edison International,12390,11869,3,51319,11996,1311
Sherwin-Williams,42550,11856,4.6,6753,1878,1132.7
NGL Energy Partners,3200,11742,-30.1,5560,1656,-198.9
Dominion Energy,16200,11737,0.5,71610,14605,2123
Ameriprise Financial,13195,11735,-3.8,139821,6292,1314
ADP,57000,11668,1.7,43670,4482,1492.5
Hilton Worldwide Holdings,169000,11663,3.5,26211,5899,348
First Data,24000,11584,1.2,40292,1220,420
Henry Schein,21000,11572,8.9,6730,2793,506.8
Toys “R” Us,64000,11540,-2.2,6908,-1292,-36
BB&T Corp.,37500,11538,11.5,219276,29881,2426
Reinsurance Group of America,2371,11522,10.6,53098,7093.1,701.4
Core-Mark Holding,7688,11507,29.9,1497,530,54.2
Biogen,7400,11449,6.4,22877,12140,3702.8
Las Vegas Sands,49000,11410,-2.4,20469,6177,1670
Stanley Black & Decker,54023,11407,1.7,15635,6367,965.3
Parker-Hannifin,48950,11361,-10.6,12057,4575,806.8
Stryker,33000,11325,13.9,20435,9550,1647
Estee Lauder,46000,11262,4.5,9223,3572,1114.6
Celgene,7132,11229,21.3,28086,6599,1999.2
BlackRock,13000,11155,-2.2,220177,29098,3172
Xcel Energy,11476,11107,0.7,41155,11021,1123.4
CSX,26628,11069,-6.3,35414,11679,1714
Unum Group,9400,11047,2.9,61942,8968,931.4
Jacobs Engineering Group,49350,10964,-9.5,7360,4265,210.5
Lennar,8335,10950,15.6,15362,7026,911.8
Group 1 Automotive,13500,10888,2.4,4462,930,147.1
Leucadia National,13000,10875,-6.9,45071,10128,130
Entergy,13513,10846,-5.8,45904,8082,-583.6
PayPal Holdings,18100,10842,17.2,33103,14712,1401
Applied Materials,16150,10825,12.1,14588,7217,1721
Voya Financial,6700,10782,-4.9,214235,12994,-428
Mastercard,11900,10776,11.5,18675,5656,4059
Priceline Group,18500,10743,16.5,19839,9820,2135
Liberty Interactive,21080,10647,6.6,20355,6772,1235
AutoZone,66780,10636,4.4,8600,-1788,1241
State Street Corp.,33783,10635,-1.2,242698,21219,2143
DTE Energy,10000,10630,2.8,32041,9011,868
L3 Technologies,38000,10597,-8.3,11865,4553,710
HollyFrontier,2676,10536,-20.4,9436,4681,-260.5
Praxair,26498,10534,-2.2,19332,5021,1500
Universal Health Services,70863,10508,7.4,10318,4533,702.4
Discover Financial Services,15549,10497,4.9,92308,11323,2393
Occidental Petroleum,11000,10398,-18.1,43109,21497,-574
United States Steel,29800,10261,-11.3,9160,2274,-440
Sempra Energy,16575,10183,-0.5,47786,12951,1370
Baxter International,48000,10163,2,15546,8290,4965
W.W. Grainger,25000,10137,1.6,5694,1798,605.9
Autoliv,65900,10074,9.9,8234,3677,567.1
Norfolk Southern,27856,9888,-5.9,34892,12409,1668
Baker Hughes,33000,9841,-37.5,19034,12656,-2738
Ally Financial,7600,9835,3.1,163728,13317,1067
Sonic Automotive,9800,9732,1.1,3639,725,93.2
Owens & Minor,7900,9723,-0.5,2718,960,108.8
Huntsman,15000,9657,-6.2,9189,1287,326
Laboratory Corp. of America,52000,9642,11.1,14247,5506,732.1
Murphy USA,6600,9633,-11.5,2089,697,221.5
Advance Auto Parts,57500,9568,-1.7,8315,2916,459.6
Fidelity National Financial,55219,9554,4.6,14463,5996,650
Air Products & Chemicals,18450,9524,-3.7,18055,7080,631.1
Hormel Foods,21100,9523,2.8,6370,4448,890.1
Hertz Global Holdings,36000,9480,-10,19155,1075,-491
MGM Resorts International,66500,9455,2.9,28173,6220,1101.4
Corning,40700,9390,3.1,27899,17893,3695
Republic Services,33000,9388,3,20630,7691,612.6
Alcoa,14000,9318,3,16741,5654,-400
Fidelity National Information Services,55000,9241,40.1,26031,9741,568
Pacific Life,3628,9169,6.1,143298,11022,824
SunTrust Banks,24375,9161,7.4,204875,23515,1878
LKQ,42500,9082,26.3,8303,3442.9,464
BorgWarner,27000,9071,13.1,8835,3218.3,118.5
Ball,18450,9061,13.3,16173,3435,263
CST Brands,12380,9061,-4.6,4360,1229,324
Public Service Enterprise Group,13065,9061,-13,40070,13130,887
Eastman Chemical,14000,9008,-6.6,15457,4532,854
eBay,12600,8979,-5.4,23847,10539,7266
Mohawk Industries,37800,8959,11,10231,5777,930.4
Oneok,2384,8921,14.9,16139,189,352
Frontier Communications,28332,8896,59.5,29013,4519,-373
Netflix,3850,8831,30.3,13587,2680,186.7
American Family Insurance Group,10471,8829,6.6,22662,7760,325.6
Thrivent Financial for Lutherans,3282,8777,-0.1,88561,7726,587.8
Expedia,20075,8774,31.5,15778,4132,281.8
Lithia Motors,11170,8678,10.3,3844,911,197.1
Avis Budget Group,25600,8659,1.8,17643,221,163
Reliance Steel & Aluminum,14500,8613,-7.9,7411,4149,304.3
GameStop,41750,8608,-8.1,4976,2254,353.2
Tenneco,31000,8599,4.8,4342,588,363
O’Reilly Automotive,58397,8593,7.9,7204,1627,1037.7
Peter Kiewit Sons’,20000,8573,-4.7,6179,3268,396
United Natural Foods,9554,8470,3.5,2852,1520,125.8
salesforce.com,25000,8392,25.9,17585,7500,179.6
Boston Scientific,27000,8386,12.2,18096,6733,347
Newmont Mining,12438,8379,8.4,21031,10721,-627
Genworth Financial,3400,8369,-9.5,104658,12644,-277
Live Nation Entertainment,11500,8355,15.3,6764,1126,2.9
Veritiv,8700,8327,-4.5,2484,542,21
News Corp.,24000,8319,-3.6,15483,11564,179
Crown Holdings,23992,8284,-5.5,9599,366,496
Global Partners,1770,8240,-20.1,2564,393,-199.4
PVH,26650,8203,2.3,11068,4805,549
Level 3 Communications,12600,8172,-0.7,24888,10917,677
Navistar International,11300,8111,-20,5653,-5298,-97
Univar,8700,8074,-10.1,5390,810,-68.4
Campbell Soup,16500,7961,-1.5,7837,1525,563
Dick’s Sporting Goods,27550,7922,9,4058,1930,287.4
Weyerhaeuser,10400,7902,11.6,19243,9180,1027
Mutual of Omaha Insurance,5732,7899,9.2,38465,5618,356.6
Chesapeake Energy,3300,7872,-38.3,13028,-1460,-4401
Anadarko Petroleum,4500,7869,-9.5,45564,12212,-3071
Interpublic Group,49800,7847,3.1,12485,2017,608.5
J.M. Smucker,6910,7811,37.2,15984,7009,688.7
Steel Dynamics,7695,7777,2.4,6424,2927,382.1
Foot Locker,32965,7766,4.8,3840,2710,664
Western Refining,7134,7743,-20.9,5560,1697,124.9
SpartanNash,11500,7735,1.1,1930,825,56.8
Dean Foods,17000,7710,-5.1,2606,611,119.9
Zimmer Biomet Holdings,18500,7684,28.1,26684,9669,305.9
PulteGroup,4623,7669,28.2,10178,4659,602.7
W.R. Berkley,7608,7654,6.2,23365,5047,601.9
Quanta Services,28100,7651,0.2,5354,3339,198.4
EOG Resources,2650,7651,-12.6,29459,13982,-1096.7
Charles Schwab,16200,7644,17.6,223383,16421,1889
Eversource Energy,7762,7639,-4,32053,10712,942.3
Anixter International,8900,7625,15.6,4094,1292,120.5
EMCOR Group,31000,7552,12.3,3894,1537,181.9
Assurant,14700,7532,-27.1,29709,4098,565.4
CenterPoint Energy,7727,7528,1.9,21829,3460,432
Harris,21000,7527,48.1,11996,3056,324
HD Supply Holdings,14000,7524,-14.3,5707,960,196
PPL,12689,7517,-2,38315,9899,1902
Quest Diagnostics,43000,7515,0.3,10100,4628,645
Williams,5604,7499,1.9,46835,4643,-424
WEC Energy Group,8074,7472,26.1,30123,8930,939
Hershey,17140,7440,0.7,5524,786,720
AGCO,19795,7411,-0.8,7168,2776,160.1
Ralph Lauren,20500,7405,-2.8,6213,3744,396
Masco,26000,7357,-6.9,5137,-298,491
WESCO International,9000,7336,-2.4,4491,2013,101.6
LifePoint Health,47000,7274,20.9,6319,2180,121.9
National Oilwell Varco,36384,7251,-50.9,21140,13940,-2412
Kindred Healthcare,76650,7227,1.8,6113,813,-664.2
Mosaic,8700,7163,-19.5,16841,9585,297.8
Alliance Data Systems,17000,7138,10.8,25514,1658,515.8
Computer Sciences,59000,7106,-41.7,7736,2025,251
Huntington Ingalls Industries,37000,7068,0.7,6352,1653,573
Leidos Holdings,32000,7043,38.5,9132,3135,244
Erie Insurance Group,4988,7016,5.7,18417,8528,741.9
Tesla,30025,7000,73,22664,4753,-674.9
Ascena Retail Group,41000,6995,45.6,5506,1863,-11.9
Darden Restaurants,150942,6934,-3.2,4583,1952,375
Harman International Industries,26000,6912,12.3,6054,2453,361.7
Nvidia,10299,6910,37.9,9841,5762,1666
R.R. Donnelley & Sons,44360,6896,-38.7,4285,-106,-495.9
Fifth Third Bancorp,17844,6889,-2,142177,16205,1564
Quintiles IMS Holdings,50000,6878,19.9,21208,8633,115
Jones Lang LaSalle,77300,6804,14,7629,2790,318.2
Dover,29000,6794,-3.3,10116,3800,508.9
Spirit AeroSystems Holdings,14400,6793,2.2,5405,1928,469.7
Ryder System,34500,6787,3.3,10903,2052,262.5
A-Mark Precious Metals,83,6784,11.8,437,63,9.3
Tractor Supply,19500,6780,8.9,2675,1453,437.1
Sealed Air,23000,6778,-3.6,7389,610,486.4
Auto-Owners Insurance,4737,6775,4,21571,9690,706.3
Yum China Holdings,420000,6752,4,3727,2377,502
Calpine,2372,6716,3.8,19317,3268,92
Owens-Illinois,27000,6702,8.9,9135,254,209
Targa Resources,1970,6691,0.5,12871,5439,-187.3
Jones Financial (Edward Jones),43000,6632,-0.9,19424,2634,746
JetBlue Airways,15986,6632,3.4,9487,4013,759
Franklin Resources,9059,6618,-16.7,16099,11936,1726.7
Activision Blizzard,9500,6608,41.7,17452,9119,966
J.B. Hunt Transport Services,22190,6556,5.9,3829,1414,432.1
Constellation Brands,9000,6548,8.6,16965,6560,1054.9
NCR,33500,6543,2.7,7673,1542,270
Asbury Automotive Group,7900,6528,-0.9,2336,280,167.2
American Financial Group,7600,6498,5.7,55072,4916,649
Discovery Communications,7000,6497,1.6,15758,5167,1194
Berry Global Group,21000,6489,32.9,7653,218,236
Sanmina,40178,6481,1.7,3625,1610,187.8
CalAtlantic Group,3055,6477,83,8709,4208,484.7
Dr Pepper Snapple Group,20000,6440,2.5,9791,2134,847
Dillard’s,30800,6418,-5,3888,1717,169.2
HRG Group,16021,6403,10.1,35793,638,-198.8
CMS Energy,7750,6399,-0.9,21622,4253,551
Graybar Electric,8500,6385,4.5,2099,728,93.1
Builders FirstSource,14000,6367,78.6,2910,310,144.3
Yum Brands,90000,6366,-51.4,5478,-5656,1619
Casey’s General Stores,24724,6304,-10.6,2726,1084,226
Amphenol,62000,6286,12.9,8499,3675,822.9
Oshkosh,13800,6279,3,4514,1977,216.4
iHeartMedia,18700,6274,0.5,12862,-11021,-296.3
TreeHouse Foods,16027,6175,92.6,6546,2503,-228.6
Alleghany,3420,6131,22.6,23757,7940,456.9
