Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Aflac,10212,Financials,"Insurance: Life, Health (Stock)",Columbus,GA,22559,8.1,5,129819,20482,2659
Sears Holdings,140000,Retailing,General Merchandisers,Hoffman Estates,IL,22138,-12,5,9362,-3824,-2221
Dollar General,121000,Retailing,Specialty Retailers: Other,Goodlettsville,TN,21987,7.9,7.4,11672,5406,1251.1
AutoNation,26000,Retailing,"Automotive Retailing, Services",Fort Lauderdale,FL,21609,3.6,-2.7,10060,2310,430.5
Community Health Systems,108000,Health Care,Health Care: Medical Facilities,Franklin,TN,21374,-5.8,"-1,189.20",21944,1615,-1721
Starbucks,254000,"Hotels, Restaurants & Leisure",Food Services,Seattle,WA,21316,11.2,2.2,14330,5884,2817.7
Eli Lilly,41975,Health Care,Pharmaceuticals,Indianapolis,IN,21222,6.3,13.7,38806,14008,2737.6
International Paper,55000,Materials,"Packaging, Containers",Memphis,TN,21079,-5.8,-3.6,33345,4341,904
Tenet Healthcare,116475,Health Care,Health Care: Medical Facilities,Dallas,TX,21070,4.8,-3.6,24701,417,-192
Abbott Laboratories,75000,Health Care,Medical Products and Equipment,Abbott Park,IL,20853,0.9,-68.3,52666,20538,1400
Dollar Tree,116050,Retailing,Specialty Retailers: Other,Chesapeake,VA,20719,33.7,217.4,15702,5390,896.2
Whirlpool,93000,Industrials,"Electronics, Electrical Equipment",Benton Harbor,MI,20718,-0.8,13.4,19153,4773,888
Southwest Airlines,53536,Transportation,Airlines,Dallas,TX,20425,3.1,2.9,23286,8441,2244
Emerson Electric,103500,Industrials,"Electronics, Electrical Equipment",St. Louis,MO,20268,-9.1,-39.7,21743,7568,1635
Staples,61503,Retailing,Specialty Retailers: Other,Framingham,MA,20217,-4,-494.8,8271,3688,-1497
Plains GP Holdings,5100,Energy,Pipelines,Houston,TX,20182,-12.8,-20.3,26103,1737,94
Penske Automotive Group,24000,Retailing,"Automotive Retailing, Services",Bloomfield Hills,MI,20143,4,5.2,8861,1751,342.9
Union Pacific,42919,Transportation,Railroads,Omaha,NE,19941,-8.6,-11.3,55718,19932,4233
Danaher,62000,Technology,"Scientific, Photographic and Control Equipment",Washington,DC,19912,-4.8,-23.9,45295,23003,2553.7
Southern,32015,Energy,Utilities: Gas and Electric,Atlanta,GA,19896,13.8,3.4,109697,24758,2448
ManpowerGroup,28000,Business Services,Temporary Help,Milwaukee,WI,19654,1.7,5.8,7574,2362,443.7
Bristol-Myers Squibb,25000,Health Care,Pharmaceuticals,New York,NY,19427,17.3,184.8,33707,16177,4457
Altria Group,8300,"Food, Beverages & Tobacco",Tobacco,Richmond,VA,19337,2.6,171.7,45932,12770,14239
Fluor,61551,Engineering & Construction,"Engineering, Construction",Irving,TX,19037,5.1,-31.8,9216,3125,281.4
Kohl’s,85000,Retailing,General Merchandisers,Menomonee Falls,WI,18686,-2.7,-17.4,13574,5177,556
Lear,148400,Motor Vehicles & Parts,Motor Vehicles and Parts,Southfield,MI,18558,1.9,30.8,9901,3057,975.1
Jabil Circuit,138000,Technology,Semiconductors and Other Electronic Components,St. Petersburg,FL,18353,2.5,-10.5,10323,2438,254.1
Hartford Financial Services Group,16900,Financials,Insurance: Property and Casualty (Stock),Hartford,CT,18300,-0.4,-46.7,223432,16903,896
Thermo Fisher Scientific,54800,Technology,"Scientific, Photographic and Control Equipment",Waltham,MA,18274,7.7,2.3,45908,21539,2021.8
Kimberly-Clark,42000,Household Products,Household and Personal Products,Irving,TX,18202,-2.1,113.8,14602,-102,2166
Molina Healthcare,21000,Health Care,Health Care: Insurance and Managed Care,Long Beach,CA,17782,25.4,-63.6,7449,1649,52
PG&E Corp.,24000,Energy,Utilities: Gas and Electric,San Francisco,CA,17666,4.9,59.4,68598,17940,1393
Supervalu,38000,Food & Drug Stores,Food and Drug Stores,Eden Prairie,MN,17529,-1.6,-7.3,4370,-441,178
Cummins,55400,Industrials,Industrial Machinery,Columbus,IN,17509,-8.4,-0.4,15011,6875,1394
CenturyLink,40000,Telecommunications,Telecommunications,Monroe,LA,17470,-2.4,-28.7,47017,13399,626
AECOM,87000,Engineering & Construction,"Engineering, Construction",Los Angeles,CA,17411,-3.2,-28.7,13727,3367,96.1
Xerox,133600,Technology,Computer Peripherals,Norwalk,CT,17126,-8.2,-200.6,18145,4803,-477
Marriott International,226500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Bethesda,MD,17072,17.9,-9.2,24140,5357,780
Paccar,23000,Industrials,Construction and Farm Machinery,Bellevue,WA,17033,-10.9,-67.5,20639,6778,521.7
General Mills,39000,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,MN,16563,-6.1,39,21712,4930,1697.4
PNC Financial Services Group,50683,Financials,Commercial Banks,Pittsburgh,PA,16423,0.9,-4.9,366380,45699,3903
American Electric Power,17634,Energy,Utilities: Gas and Electric,Columbus,OH,16380,-3.1,-70.2,63468,17397,610.9
Icahn Enterprises,90980,Financials,Diversified Financials,New York,NY,16348,7,-70.2,33335,2154,-1128
Nucor,23900,Materials,Metals,Charlotte,NC,16208,-1.4,122.6,15224,7880,796.3
NextEra Energy,14700,Energy,Utilities: Gas and Electric,Juno Beach,FL,16155,-7.6,5.8,89993,24341,2912
Performance Food Group,13000,Wholesalers,Wholesalers: Food and Grocery,Richmond,VA,16105,5.5,20.9,3455,803,68.3
PBF Energy,3165,Energy,Petroleum Refining,Parsippany,NJ,15920,21.3,16.7,7622,2025,170.8
Halliburton,50000,Energy,"Oil and Gas Equipment, Services",Houston,TX,15887,-32.8,16.7,27000,9409,-5763
CarMax,22429,Retailing,"Automotive Retailing, Services",Richmond,VA,15833,6.4,4.4,14482,2905,623.4
Freeport-McMoRan,30000,Energy,"Mining, Crude-Oil Production",Phoenix,AZ,15789,-0.6,4.4,37317,6051,-4154
Whole Foods Market,73515,Food & Drug Stores,Food and Drug Stores,Austin,TX,15724,2.2,-5.4,6341,3224,507
Bank of New York Mellon,52000,Financials,Commercial Banks,New York,NY,15683,1,12.3,333469,38811,3547
Gap,135000,Retailing,Specialty Retailers: Apparel,San Francisco,CA,15516,-1.8,-26.5,7610,2904,676
